ID,target,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,YEARS_EMPLOYED,ACCOUNT_LENGTH
5008858,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,10
5008859,0,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,4
5008860,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,3
5008861,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,3
5008862,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,2
5008863,0,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,2
5008864,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,2
5008865,0,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,8
5008866,0,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,19
5008867,1,F,Y,Y,2,135000.0,Working,NO GED,Married,House / apartment,Laborers,4.0,43.0,9.0,25
5008868,0,F,N,Y,1,211500.0,State servant,NO GED,Married,House / apartment,Core staff,3.0,44.0,19.0,24
5008870,0,F,N,Y,1,211500.0,State servant,NO GED,Married,House / apartment,Core staff,3.0,44.0,19.0,20
5008872,1,M,Y,Y,0,360000.0,Commercial associate,NO GED,Married,House / apartment,Security staff,2.0,46.0,15.0,10
5008873,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,21
5008874,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,45
5008875,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,39
5008876,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,43
5008877,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,7
5008878,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,43
5008879,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,21
5008880,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,10
5008881,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,19
5008882,1,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,Managers,4.0,34.0,5.0,45
5008884,1,F,N,Y,0,315000.0,Pensioner,NO GED,Widow,House / apartment,not_specified,1.0,55.0,0.0,40
5008888,1,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1.0,47.0,4.0,11
5008889,1,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1.0,47.0,4.0,4
5008890,1,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,Core staff,1.0,47.0,4.0,48
5008891,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,7
5008892,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,37
5008893,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,36
5008894,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,36
5008895,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,34
5008896,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,34
5008897,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,32
5008898,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,31
5008899,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,30
5008900,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,29
5008901,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,27
5008902,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,27
5008903,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,27
5008904,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,26
5008905,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,25
5008906,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,24
5008907,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,23
5008908,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,22
5008909,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,22
5008910,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,21
5008911,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,21
5008912,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,20
5008913,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,19
5008914,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,18
5008915,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,18
5008916,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,17
5008917,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,17
5008918,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,16
5008919,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,15
5008920,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,15
5008921,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,13
5008922,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,13
5008923,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,12
5008924,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,12
5008925,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,12
5008926,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,11
5008927,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,9
5008928,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,9
5008929,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,7
5008930,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,6
5008931,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,5
5008932,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,5
5008933,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,5
5008934,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,4
5008935,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,4
5008936,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,3
5008937,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,1
5008938,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,1
5008939,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,0
5008940,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,1
5008941,1,F,N,Y,0,297000.0,Commercial associate,NO GED,Single / not married,Rented apartment,Laborers,1.0,42.0,9.0,7
5008942,1,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2.0,37.0,13.0,43
5008943,1,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2.0,37.0,13.0,14
5008944,1,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2.0,37.0,13.0,23
5008945,1,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2.0,37.0,13.0,30
5008946,1,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2.0,37.0,13.0,48
5008947,1,M,N,Y,0,135000.0,Working,NO GED,Married,House / apartment,Drivers,2.0,42.0,4.0,12
5008948,1,M,N,Y,0,135000.0,Working,NO GED,Married,House / apartment,Drivers,2.0,42.0,4.0,17
5008949,1,M,N,Y,0,135000.0,Working,NO GED,Married,House / apartment,Drivers,2.0,42.0,4.0,0
5008950,1,M,N,Y,0,135000.0,Working,NO GED,Married,House / apartment,Drivers,2.0,42.0,4.0,12
5008951,1,M,N,Y,1,225000.0,Working,NO GED,Married,House / apartment,not_specified,3.0,28.0,8.0,45
5008952,1,M,N,Y,1,225000.0,Working,NO GED,Married,House / apartment,not_specified,3.0,28.0,8.0,54
5008953,1,M,N,Y,1,225000.0,Working,NO GED,Married,House / apartment,not_specified,3.0,28.0,8.0,27
5008954,0,M,N,Y,1,225000.0,Working,NO GED,Married,House / apartment,not_specified,3.0,28.0,8.0,5
5008955,0,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,4
5008956,1,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,39
5008957,1,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,51
5008958,0,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,3
5008959,1,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,15
5008960,1,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,28
5008962,1,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,26
5008963,1,F,Y,Y,0,135000.0,Working,NO GED,Married,House / apartment,Laborers,2.0,49.0,5.0,38
5008966,1,M,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,not_specified,2.0,44.0,2.0,15
5008967,1,M,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,not_specified,2.0,44.0,2.0,21
5008971,0,M,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,not_specified,2.0,44.0,2.0,55
5008973,0,M,N,Y,0,157500.0,Working,NO GED,Married,House / apartment,not_specified,2.0,44.0,2.0,4
5008974,1,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,49
5008975,1,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,49
5008976,0,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,1
5008977,0,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,23
5008978,1,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,38
5008979,1,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,37
5008980,1,F,N,Y,0,112500.0,Pensioner,NO GED,Married,House / apartment,not_specified,2.0,61.0,0.0,58
5008981,1,M,Y,Y,0,112500.0,State servant,NO GED,Married,House / apartment,Drivers,2.0,57.0,7.0,10
5008983,1,M,Y,Y,0,112500.0,State servant,NO GED,Married,House / apartment,Drivers,2.0,57.0,7.0,58
5008984,1,M,Y,Y,0,112500.0,State servant,NO GED,Married,House / apartment,Drivers,2.0,57.0,7.0,58
5008986,1,M,Y,Y,0,112500.0,State servant,NO GED,Married,House / apartment,Drivers,2.0,57.0,7.0,10
5008987,1,M,Y,Y,0,112500.0,State servant,NO GED,Married,House / apartment,Drivers,2.0,57.0,7.0,10
5008988,1,M,Y,Y,0,112500.0,State servant,NO GED,Married,House / apartment,Drivers,2.0,57.0,7.0,16
5008991,1,F,Y,Y,0,270000.0,Working,NO GED,Separated,House / apartment,Cleaning staff,1.0,45.0,3.0,30
5008992,1,F,Y,Y,0,270000.0,Working,NO GED,Separated,House / apartment,Cleaning staff,1.0,45.0,3.0,6
5008993,0,F,Y,Y,0,270000.0,Working,NO GED,Separated,House / apartment,Cleaning staff,1.0,45.0,3.0,17
5008994,1,F,Y,Y,0,270000.0,Working,NO GED,Separated,House / apartment,Cleaning staff,1.0,45.0,3.0,19
5008995,1,F,Y,Y,0,270000.0,Working,NO GED,Separated,House / apartment,Cleaning staff,1.0,45.0,3.0,28
5008998,1,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,Managers,2.0,29.0,2.0,4
5008999,1,F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,Managers,2.0,29.0,2.0,24
5009000,1,M,Y,Y,0,157500.0,Working,NO GED,Married,House / apartment,Drivers,2.0,27.0,2.0,22
5009001,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,40
5009002,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,44
5009005,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,35
5009006,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,45
5009007,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,59
5009008,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,9
5009009,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,32
5009010,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,12
5009012,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,5
5009014,1,M,N,Y,0,166500.0,Working,NO GED,Married,House / apartment,Laborers,2.0,52.0,17.0,35
5009016,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,24
5009018,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,43
5009019,0,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,32
5009020,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,32
5009022,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,41
5009023,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,35
5009024,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,8
5009025,1,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,not_specified,4.0,42.0,9.0,33
5009027,1,F,Y,Y,0,270000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,54.0,30.0,21
5009028,1,F,Y,Y,0,225000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,40.0,8.0,17
5009029,1,F,Y,Y,0,225000.0,Commercial associate,NO GED,Married,House / apartment,Laborers,2.0,40.0,8.0,15
5009031,1,F,N,Y,0,315000.0,Working,NO GED,Single / not married,House / apartment,Accountants,1.0,29.0,3.0,13
5009032,1,F,N,Y,0,315000.0,Working,NO GED,Single / not married,House / apartment,Accountants,1.0,29.0,3.0,13
5009033,1,F,N,N,0,255150.0,Pensioner,NO GED,Married,Rented apartment,not_specified,2.0,51.0,0.0,16
5009034,1,F,N,N,0,255150.0,Pensioner,NO GED,Married,Rented apartment,not_specified,2.0,51.0,0.0,31
5009035,1,F,N,N,0,255150.0,Pensioner,NO GED,Married,Rented apartment,not_specified,2.0,51.0,0.0,5
5009036,1,F,N,N,0,255150.0,Pensioner,NO GED,Married,Rented apartment,not_specified,2.0,51.0,0.0,18
5009037,1,F,N,N,0,255150.0,Pensioner,NO GED,Married,Rented apartment,not_specified,2.0,51.0,0.0,19
5009038,1,F,N,N,0,255150.0,Pensioner,NO GED,Married,Rented apartment,not_specified,2.0,51.0,0.0,12
5009039,1,F,N,Y,2,157500.0,Working,NO GED,Single / not married,House / apartment,Core staff,3.0,39.0,2.0,8
5009040,1,F,N,Y,2,157500.0,Working,NO GED,Single / not married,House / apartment,Core staff,3.0,39.0,2.0,3
5009042,1,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Core staff,2.0,48.0,2.0,20
5009043,1,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Core staff,2.0,48.0,2.0,20
5009044,1,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Core staff,2.0,48.0,2.0,18
5009045,1,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Core staff,2.0,48.0,2.0,17
5009046,1,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Core staff,2.0,48.0,2.0,7
5009047,1,F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,Core staff,2.0,48.0,2.0,11
5009050,1,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Core staff,4.0,30.0,6.0,34
5009051,1,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Core staff,4.0,30.0,6.0,56
5009052,1,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Core staff,4.0,30.0,6.0,47
5009053,1,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Core staff,4.0,30.0,6.0,51
5009055,1,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Core staff,4.0,30.0,6.0,55
5009056,0,M,N,Y,0,202500.0,Working,NO GED,Single / not married,House / apartment,Drivers,1.0,24.0,2.0,24
5009057,0,M,N,Y,0,202500.0,Working,NO GED,Single / not married,House / apartment,Drivers,1.0,24.0,2.0,9
5009058,1,F,Y,Y,0,112500.0,Commercial associate,NO GED,Single / not married,House / apartment,Private service staff,1.0,21.0,2.0,0
5009060,0,F,N,Y,0,94500.0,Pensioner,Higher education,Married,House / apartment,not_specified,2.0,61.0,0.0,3
5009062,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,45
5009063,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,27
5009064,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,4
5009065,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,10
5009066,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,15
5009067,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,36
5009068,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,22
5009069,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,35
5009070,1,M,Y,Y,0,315000.0,Working,NO GED,Married,House / apartment,Sales staff,2.0,29.0,6.0,39
5009071,1,F,Y,Y,0,270000.0,Commercial associate,NO GED,Married,Municipal apartment,High skill tech staff,2.0,28.0,9.0,20
5009072,1,F,Y,Y,0,270000.0,Commercial associate,NO GED,Married,Municipal apartment,High skill tech staff,2.0,28.0,9.0,43
5009074,0,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,Core staff,3.0,49.0,2.0,22
5009075,1,F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,Core staff,3.0,49.0,2.0,28
